WEAK STIMULUS,,,STRONGER STIMULUS,
peak current change,frequency of observation,,peak current change,frequency of observation
-1.1804,0,,-0.9013,0
-1.019925,0,,-0.740176744,1
-0.85945,0,,-0.579053488,2
-0.698975,2,,-0.417930233,7
-0.5385,2,,-0.256806977,12
-0.378025,13,,-0.095683721,13
-0.21755,25,,0.065439535,12
-0.057075,27,,0.226562791,12
0.1034,33,,0.387686047,7
0.263875,29,,0.548809302,4
0.42435,26,,0.709932558,3
0.584825,15,,0.871055814,5
0.7453,8,,1.03217907,4
0.905775,3,,1.193302326,11
1.06625,5,,1.354425581,7
1.226725,1,,1.515548837,9
1.3872,3,,1.676672093,12
1.547675,7,,1.837795349,12
1.70815,4,,1.998918605,12
1.868625,6,,2.16004186,9
2.0291,3,,2.321165116,8
2.189575,7,,2.482288372,8
2.35005,4,,2.643411628,7
2.510525,1,,2.804534884,1
2.671,2,,2.96565814,4
2.831475,2,,3.126781395,9
2.99195,0,,3.287904651,5
3.152425,0,,3.449027907,3
3.3129,0,,3.610151163,3
3.473375,0,,3.771274419,4
3.63385,1,,3.932397674,2
3.794325,0,,4.09352093,4
3.9548,0,,4.254644186,1
4.115275,0,,4.415767442,4
4.27575,0,,4.576890698,3
4.436225,1,,4.738013953,0
4.5967,0,,4.899137209,2
,,,5.060260465,2
,,,5.221383721,1
,,,5.382506977,1
,,,5.543630233,2
,,,5.704753488,1
,,,5.865876744,0
,,,6.027,2
